127.0.0.1 - - [07/Jun/2017:10:50:37 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:50:40 -0600] "GET /fesdweb/WEB-INF/classes/fesdweb/data/DataUtils.java HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:06 -0600] "GET /fesdweb/css/style.css HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:06 -0600] "GET /fesdweb/logo/f-orbital_logo.png HTTP/1.1" 200 28013
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:06 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39699
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:07 -0600] "GET /fesdweb/logo/LANL.png HTTP/1.1" 200 15916
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:07 -0600] "GET /fesdweb/logo/UNM.png HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:07 -0600] "GET /fesdweb/logo/norditax.png HTTP/1.1" 200 9494
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:07 -0600] "GET /fesdweb/logo/IMS-logo-color.jpg HTTP/1.1" 200 610231
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:08 -0600] "GET /fesdweb/logo/upsala.png HTTP/1.1" 200 3068239
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:08 -0600] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:14 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 13377
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:14 -0600] "GET /fesdweb/css/core-layout.css HTTP/1.1" 200 52016
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:14 -0600] "GET /fesdweb/image/avb.jpg HTTP/1.1" 200 6552
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:22 -0600] "GET /fesdweb/image/jw.png HTTP/1.1" 200 63901
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:22 -0600] "GET /fesdweb/image/ak.jpg HTTP/1.1" 200 67882
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:22 -0600] "GET /fesdweb/image/hh.jpg HTTP/1.1" 200 32487
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:22 -0600] "GET /fesdweb/image/oe.jpg HTTP/1.1" 200 5587
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:22 -0600] "GET /fesdweb/image/ta.jpg HTTP/1.1" 200 9103
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:51:22 -0600] "GET /fesdweb/image/Mueen.jpg HTTP/1.1" 200 180871
0:0:0:0:0:0:0:1 - - [07/Jun/2017:10:52:23 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 13821
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:00:59 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:01:03 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:02:32 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:02:33 -0600] "GET /fesdweb/image/jz.jpg HTTP/1.1" 200 6301203
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:03:56 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 12362
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:03:56 -0600] "GET /fesdweb/image/jz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:05:01 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 12361
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:05:01 -0600] "GET /fesdweb/image/jz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:05:03 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 12361
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:05:28 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 12364
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:05:28 -0600] "GET /fesdweb/image/jz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:09:34 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 12364
0:0:0:0:0:0:0:1 - - [07/Jun/2017:11:09:34 -0600] "GET /fesdweb/image/jz.jpg HTTP/1.1" 304 -
