0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:34:17 -0600] "GET /fesdweb/BandStructureServlet?Emin=1&Emax=2&element=Pa1&orbital=f&id=76994 HTTP/1.1" 200 5396
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:35:05 -0600] "GET /fesdweb/SingleCompound.jsp?Id=76994 HTTP/1.1" 200 22986
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:35:05 -0600] "GET /fesdweb/css/ChemDoodleWeb.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:35:05 -0600] "GET /fesdweb/js/ChemDoodleWeb.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:35:05 -0600] "GET /fesdweb/js/jquery.tmpl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:35:05 -0600] "GET /fesdweb/logo/f-orbital_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:35:06 -0600] "GET /fesdweb/SingleCompoundServlet?Id=76994 HTTP/1.1" 200 8695
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:35:08 -0600] "GET /static/View/ HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:35:08 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=None&orbital=None&id=76994 HTTP/1.1" 200 43280
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:35:16 -0600] "GET /fesdweb/BandStructureServlet?Emin=0&Emax=1&element=Pa1&orbital=p&id=76994 HTTP/1.1" 200 10706
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:35:27 -0600] "GET /fesdweb/BandStructureServlet?Emin=1&Emax=2&element=Pa1&orbital=p&id=76994 HTTP/1.1" 200 5396
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:35:34 -0600] "GET /fesdweb/BandStructureServlet?Emin=1&Emax=2&element=Pa1&orbital=f&id=76994 HTTP/1.1" 200 5396
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:36:25 -0600] "GET /fesdweb/SingleCompound.jsp?Id=76994 HTTP/1.1" 200 21781
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:36:25 -0600] "GET /fesdweb/css/ChemDoodleWeb.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:36:25 -0600] "GET /fesdweb/js/ChemDoodleWeb.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:36:25 -0600] "GET /fesdweb/js/jquery.tmpl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:36:25 -0600] "GET /fesdweb/logo/f-orbital_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:36:26 -0600] "GET /fesdweb/SingleCompoundServlet?Id=76994 HTTP/1.1" 200 8695
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:36:31 -0600] "GET /static/View/ HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:36:31 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=None&orbital=None&id=76994 HTTP/1.1" 200 43280
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:36:42 -0600] "GET /fesdweb/BandStructureServlet?Emin=1&Emax=2&element=Pa1&orbital=f&id=76994 HTTP/1.1" 200 5396
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:39:00 -0600] "GET /fesdweb/SingleCompound.jsp?Id=76994 HTTP/1.1" 200 21518
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:39:00 -0600] "GET /fesdweb/css/ChemDoodleWeb.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:39:00 -0600] "GET /fesdweb/js/ChemDoodleWeb.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:39:00 -0600] "GET /fesdweb/js/jquery.tmpl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:39:00 -0600] "GET /fesdweb/logo/f-orbital_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:39:01 -0600] "GET /fesdweb/SingleCompoundServlet?Id=76994 HTTP/1.1" 200 8695
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:39:02 -0600] "GET /static/View/ HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:39:02 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=None&orbital=None&id=76994 HTTP/1.1" 200 43280
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:39:06 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=Pa1&orbital=f&id=76994 HTTP/1.1" 200 81133
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:39:17 -0600] "GET /fesdweb/BandStructureServlet?Emin=0&Emax=2&element=Pa1&orbital=f&id=76994 HTTP/1.1" 200 26687
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:44:36 -0600] "GET /fesdweb/SingleCompound.jsp?Id=76994 HTTP/1.1" 200 21503
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:44:36 -0600] "GET /fesdweb/css/ChemDoodleWeb.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:44:36 -0600] "GET /fesdweb/js/ChemDoodleWeb.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:44:36 -0600] "GET /fesdweb/js/jquery.tmpl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:44:36 -0600] "GET /fesdweb/logo/f-orbital_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:44:37 -0600] "GET /fesdweb/SingleCompoundServlet?Id=76994 HTTP/1.1" 200 8695
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:44:39 -0600] "GET /static/View/ HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:44:39 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=None&orbital=None&id=76994 HTTP/1.1" 200 43280
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:44:56 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=Pa1&orbital=tot&id=76994 HTTP/1.1" 200 81133
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:45:03 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=Pa1&orbital=f&id=76994 HTTP/1.1" 200 81133
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:17 -0600] "GET /fesdweb/SingleCompound.jsp?Id=76994 HTTP/1.1" 200 21968
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:18 -0600] "GET /fesdweb/css/ChemDoodleWeb.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:18 -0600] "GET /fesdweb/js/ChemDoodleWeb.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:18 -0600] "GET /fesdweb/js/jquery.tmpl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:18 -0600] "GET /fesdweb/logo/f-orbital_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:19 -0600] "GET /fesdweb/SingleCompoundServlet?Id=76994 HTTP/1.1" 200 8695
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:23 -0600] "GET /fesdweb/SingleCompound.jsp?Id=76994 HTTP/1.1" 200 21968
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:24 -0600] "GET /fesdweb/SingleCompoundServlet?Id=76994 HTTP/1.1" 200 8695
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:25 -0600] "GET /static/View/ HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:25 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=None&orbital=None&id=76994 HTTP/1.1" 200 43280
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:30 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=Pa1&orbital=p&id=76994 HTTP/1.1" 200 81133
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:34 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=Pa1&orbital=f&id=76994 HTTP/1.1" 200 81133
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:41 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=O&orbital=p&id=76994 HTTP/1.1" 200 81133
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:48:53 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=O&orbital=tot&id=76994 HTTP/1.1" 200 81133
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:49:01 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=Pa1&orbital=p&id=76994 HTTP/1.1" 200 81133
0:0:0:0:0:0:0:1 - - [30/Jul/2017:21:49:04 -0600] "GET /fesdweb/BandStructureServlet?Emin=-10&Emax=10&element=Pa1&orbital=f&id=76994 HTTP/1.1" 200 81133
